source,target,amount,label
76,197,1480.57,0
186,86,4012.93,0
173,139,831.98,0
191,74,176211.43,1
187,117,132119.07,1
117,144,53939.12,1
27,148,177.11,0
29,66,933.91,0
175,121,382.31,0
92,194,118739.18,2
182,125,2268.46,0
184,67,4860.85,0
63,29,178.27,0
0,153,1654.57,0
81,41,1995.13,0
139,22,2972.94,0
28,106,2939.33,0
137,195,3466.31,0
160,165,245.14,0
112,8,2918.89,0
185,48,16946.57,1
181,111,58.37,0
105,171,4327.12,0
62,8,2884.22,0
130,57,650.74,0
145,63,2915.65,0
155,90,1134.07,0
13,52,1371.93,0
78,145,3124.09,0
50,108,618.14,0
142,131,102626.19,2
94,149,2785.0,0
82,26,446.34,0
186,57,168120.57,1
182,113,4986.45,0
107,170,4704.8,0
5,12,3944.63,0
30,32,4876.66,0
138,199,4616.05,0
75,94,125622.71,1
85,34,269.46,0
86,75,116581.78,1
97,81,3152.66,0
184,158,3884.3,0
162,158,1709.18,0
174,193,121992.19,1
165,15,4544.29,0
169,148,1876.65,0
128,198,3076.82,0
130,162,614.43,0
92,45,1546.22,0
39,70,43376.73,1
96,39,853.12,0
82,62,4162.12,0
87,182,467.43,0
141,70,669.59,0
143,152,1620.62,0
9,158,388.68,0
129,165,1739.09,0
138,84,179049.81,2
17,60,3903.65,0
61,176,2406.66,0
99,107,2714.19,0
149,140,3575.16,0
37,111,503.98,0
83,86,3818.09,0
57,16,1723.52,0
167,84,1402.42,0
165,25,350.03,0
97,37,4117.22,0
79,147,3402.87,0
151,84,4355.02,0
195,147,1932.89,0
157,152,132637.66,2
51,182,1593.0,0
60,71,3361.44,0
121,171,616.23,0
190,121,3540.88,0
146,2,57479.76,1
77,70,2977.53,0
51,35,1221.84,0
144,76,2400.72,0
137,34,1973.8,0
17,11,3323.25,0
196,158,698.69,0
3,4,109177.61,1
168,101,1408.68,0
135,107,4833.03,0
171,68,3524.01,0
164,130,2028.41,0
59,25,1931.62,0
181,16,2772.49,0
72,173,3408.51,0
167,19,926.87,0
168,133,1543.07,0
160,80,797.24,0
20,167,198393.22,1
178,138,2124.68,0
180,35,2617.48,0
39,55,4788.2,0
167,178,3327.57,0
190,16,2407.42,0
176,1,4468.67,0
58,184,304.21,0
183,47,9718.25,1
153,79,1790.65,0
45,9,199454.16,1
14,75,1824.39,0
70,137,195653.51,1
99,173,138384.62,2
181,136,676.59,0
124,155,2238.12,0
197,35,75.65,0
74,59,164446.75,1
21,164,2171.63,0
190,186,814.89,0
122,134,1915.28,0
192,63,4207.32,0
17,120,2238.93,0
153,172,142734.25,1
164,84,4075.26,0
13,89,1159.9,0
84,77,119414.93,1
21,63,636.34,0
108,136,80200.36,1
56,115,4428.92,0
34,17,1417.42,0
101,3,1359.07,0
38,2,49212.9,1
97,114,174836.72,1
27,89,4234.6,0
182,20,1764.5,0
109,149,2027.03,0
14,143,86646.76,1
30,163,183813.16,1
168,8,101565.81,2
25,113,873.51,0
122,43,2644.95,0
64,13,506.88,0
147,48,1310.88,0
35,122,69455.12,1
60,103,643.44,0
114,174,4624.56,0
147,129,1103.06,0
147,150,4756.39,0
125,38,2260.41,0
104,167,4851.29,0
93,110,396.37,0
181,57,1762.81,0
160,62,554.41,0
137,69,4668.47,0
89,186,4793.21,0
67,169,451.88,0
102,112,52227.48,1
168,123,1160.01,0
97,115,4547.1,0
162,43,2693.99,0
8,139,120715.81,2
123,120,1256.47,0
29,24,1212.26,0
147,10,3827.39,0
58,63,95900.68,1
112,80,2122.96,0
103,185,866.97,0
143,55,99523.08,1
75,141,680.07,0
17,62,1879.16,0
61,183,760.71,0
177,68,193.32,0
92,147,1001.83,0
102,15,864.95,0
146,147,2389.72,0
164,7,351.09,0
142,63,4591.48,0
142,126,16048.63,1
49,63,1431.08,0
132,68,4015.68,0
103,97,79793.73,1
116,162,4178.85,0
94,111,4452.96,0
173,138,173974.52,2
192,165,995.96,0
72,185,1527.85,0
76,150,4950.65,0
97,145,167839.0,1
176,38,2750.67,0
186,13,3383.15,0
7,36,4250.91,0
20,95,1161.47,0
134,133,3068.54,0
191,172,1347.7,0
143,196,4101.21,0
86,29,2368.24,0
141,53,2952.6,0
199,41,4825.37,0
180,69,2106.68,0
56,35,2572.16,0
82,60,65240.54,1
101,80,3265.33,0
16,54,4570.02,0
100,129,2313.29,0
47,127,2612.84,0
106,142,109288.42,1
191,173,841.93,0
186,117,2704.33,0
60,114,152475.03,1
86,144,253.91,0
36,89,1585.65,0
7,20,275.04,0
46,71,2340.01,0
110,32,257.05,0
180,197,67018.74,1
141,135,1751.6,0
126,6,1836.44,0
78,185,11201.7,1
27,63,998.37,0
59,129,3029.99,0
7,23,3743.25,0
88,20,134059.27,2
136,196,672.51,0
92,17,4769.35,0
178,124,651.06,0
30,165,4169.11,0
198,105,266.05,0
69,163,3456.4,0
52,17,4157.6,0
10,110,3685.94,0
155,191,3605.87,0
145,20,473.98,0
107,64,4182.81,0
13,25,2095.84,0
108,70,268.23,0
151,86,2561.21,0
56,165,362.92,0
194,150,146790.91,1
194,124,4368.3,0
95,64,3749.22,0
119,174,2610.93,0
106,87,4674.53,0
184,13,4843.57,0
26,41,1682.53,0
101,36,156669.59,2
33,110,2539.18,0
157,145,1539.7,0
130,92,140.24,0
19,80,2900.01,0
61,57,65042.13,1
104,125,2798.12,0
23,193,283.23,0
189,188,3369.61,0
110,37,1258.78,0
198,73,1226.32,0
192,182,129927.69,2
105,86,4145.73,0
157,1,4533.99,0
37,74,258.23,0
116,22,1606.86,0
14,35,104251.9,1
1,105,33535.87,1
181,36,162514.8,1
161,165,1706.51,0
86,171,3411.75,0
37,65,1026.5,0
116,3,3626.1,0
21,23,2187.79,0
49,102,1674.9,0
142,2,2607.3,0
106,15,1073.83,0
196,198,326.89,0
197,74,4926.85,0
192,18,96.11,0
53,174,1285.17,0
179,139,2126.62,0
167,127,2008.38,0
176,152,2376.07,0
110,44,689.47,0
169,138,32667.03,1
131,104,135391.43,2
144,10,1768.66,0
176,64,2311.34,0
138,3,4846.53,0
129,68,4111.72,0
11,13,2789.13,0
64,50,3193.53,0
136,6,4539.3,0
158,57,3889.68,0
60,69,1712.45,0
171,166,1898.43,0
193,144,3811.39,0
3,54,187871.83,1
179,43,22958.42,1
64,59,647.25,0
124,134,3352.31,0
133,113,29434.32,1
146,173,2738.79,0
146,112,2335.32,0
195,65,1482.76,0
4,28,4649.04,0
112,19,3582.05,0
192,191,3929.81,0
183,87,1057.81,0
75,83,3750.03,0
81,61,2359.04,0
10,18,43315.52,1
158,134,55716.71,1
67,9,586.59,0
58,54,147550.03,2
85,77,191704.81,1
55,14,2916.94,0
48,21,1244.71,0
153,197,136798.66,1
103,177,1254.36,0
168,149,2847.87,0
27,85,61920.4,1
90,68,160422.71,1
175,86,56664.06,1
55,113,2251.24,0
24,91,4245.1,0
2,76,116616.64,1
11,9,728.33,0
42,184,2216.48,0
111,165,197732.92,2
33,142,346.91,0
152,0,1422.51,0
81,122,1776.58,0
51,154,735.07,0
105,176,1059.26,0
98,97,2999.65,0
189,30,151147.69,1
32,199,2778.95,0
85,197,697.56,0
101,88,4775.31,0
85,199,882.26,0
118,115,236.16,0
162,39,110655.09,2
143,84,3366.57,0
170,55,154038.91,1
136,166,76337.09,1
8,59,1476.12,0
42,67,2661.99,0
69,179,3823.93,0
56,1,401.42,0
195,45,2563.02,0
169,107,125680.18,1
119,135,1294.5,0
87,139,1803.72,0
116,191,197845.73,1
171,24,42662.77,1
30,1,2512.06,0
58,172,4188.0,0
100,95,3984.74,0
93,11,2032.88,0
127,177,2512.74,0
164,186,131655.0,1
134,8,168940.22,1
84,144,189479.12,2
154,39,3813.07,0
106,161,2899.57,0
184,80,989.68,0
62,12,3365.68,0
26,142,159804.38,2
120,188,3650.64,0
96,172,123759.1,1
38,144,4748.17,0
49,80,641.8,0
164,117,757.21,0
8,84,400.74,0
153,130,3744.15,0
116,95,18666.87,1
184,70,1474.56,0
37,33,2724.07,0
105,11,115567.27,1
31,116,1874.5,0
144,175,3902.64,0
70,196,3899.49,0
47,193,110820.16,1
80,111,3050.73,0
120,178,4164.0,0
152,121,1364.38,0
170,84,3134.62,0
172,110,162590.37,1
27,160,1527.3,0
101,61,113551.3,1
110,34,4418.16,0
53,176,3539.69,0
124,160,1234.27,0
76,57,4710.35,0
35,63,3737.7,0
128,164,884.75,0
10,111,142.77,0
125,157,2070.17,0
162,67,2551.77,0
15,115,562.33,0
114,150,1427.04,0
66,180,2259.05,0
27,115,2544.0,0
196,94,880.56,0
115,94,24845.55,1
108,105,2361.77,0
146,57,4045.75,0
118,46,298.91,0
70,62,1154.89,0
72,21,3827.43,0
116,73,2143.89,0
190,112,4478.46,0
197,77,4258.95,0
58,91,118573.78,2
125,185,130847.03,1
163,129,3064.4,0
31,12,1230.28,0
105,144,3424.91,0
103,93,2589.78,0
46,124,1099.99,0
36,192,192887.49,2
21,79,2816.66,0
178,32,3207.45,0
76,129,1580.96,0
145,73,2223.81,0
141,73,413.98,0
1,90,1528.13,0
163,159,2312.71,0
163,28,173.8,0
25,179,616.35,0
178,122,3177.09,0
169,31,3612.78,0
67,41,3719.09,0
96,20,2782.6,0
110,115,4446.05,0
17,152,386.41,0
192,68,3854.56,0
40,116,66.06,0
177,67,3069.88,0
143,30,1345.79,0
93,10,4499.68,0
141,37,1948.75,0
195,106,3051.27,0
0,168,4353.37,0
139,121,1303.9,0
173,115,4746.68,0
151,144,3331.85,0
85,121,2620.7,0
54,177,104656.2,2
139,125,42521.22,1
118,172,145785.14,1
144,168,185042.76,2
19,120,3918.55,0
141,184,4334.19,0
14,19,3372.36,0
188,26,3399.66,0
33,73,2218.67,0
87,40,1881.76,0
97,152,2676.26,0
76,7,277.66,0
13,64,4708.26,0
102,134,439.3,0
19,36,3783.05,0
124,39,989.99,0
121,104,992.53,0
82,155,784.25,0
36,59,2332.69,0
104,29,741.9,0
152,101,163412.29,2
78,113,126976.64,2
106,116,115834.86,1
66,92,105973.59,1
157,189,4220.88,0
103,131,4133.39,0
190,88,183867.47,2
7,126,4262.22,0
26,90,3911.58,0
2,28,422.46,0
122,112,1736.49,0
44,117,4565.01,0
143,83,4580.52,0
165,84,197383.97,2
138,15,3752.48,0
27,62,2206.6,0
49,55,3706.09,0
139,144,117935.45,2
195,53,3146.3,0
15,17,197324.49,1
118,105,318.31,0
186,108,440.69,0
146,166,981.79,0
81,52,78546.05,1
90,129,417.24,0
28,127,3003.86,0
177,197,3142.47,0
124,17,4891.02,0
185,195,28779.02,1
135,57,3207.83,0
36,169,107601.45,1
53,110,3939.51,0
70,48,4842.62,0
97,98,4942.65,0
49,28,70822.03,1
84,165,22260.59,1
109,169,1884.33,0
148,39,897.44,0
6,33,123.56,0
192,60,873.24,0
80,183,1630.62,0
179,116,1391.04,0
35,83,4660.28,0
176,113,1790.16,0
127,160,2750.61,0
62,192,2350.31,0
145,143,1013.54,0
60,92,541.81,0
120,4,3757.67,0
99,104,3883.6,0
44,67,309.38,0
174,108,3002.22,0
165,44,243.75,0
25,194,3187.05,0
89,30,41445.41,1
196,157,196892.05,2
88,102,697.29,0
60,113,3072.45,0
40,112,4177.04,0
77,42,851.74,0
84,24,2811.92,0
145,58,192558.48,2
138,189,4424.23,0
112,106,2447.04,0
121,188,889.97,0
182,181,4640.26,0
141,33,3079.14,0
55,119,3512.35,0
192,125,557.81,0
145,183,1607.66,0
40,0,2072.16,0
17,199,4788.56,0
8,80,2035.77,0
75,25,2563.06,0
137,114,743.9,0
20,128,105369.64,2
184,83,3895.34,0
199,92,2590.53,0
182,101,156395.82,2
158,12,3386.15,0
20,95,192144.47,1
69,55,3786.97,0
143,171,4040.69,0
79,46,4758.29,0
146,91,2895.32,0
138,20,734.95,0
123,168,101155.9,1
17,36,3717.8,0
1,194,4038.81,0
67,86,3135.13,0
39,95,3824.43,0
34,16,3594.42,0
113,18,4501.37,0
125,23,2376.55,0
186,93,3831.09,0
9,120,1151.05,0
156,189,541.21,0
119,127,4401.42,0
23,130,92978.16,1
33,152,3558.73,0
11,62,4920.48,0
144,28,18919.3,1
189,10,2276.18,0
169,75,1567.15,0
55,96,2128.17,0
185,176,3164.84,0
12,62,149924.43,1
123,27,1224.17,0
59,136,1233.88,0
63,68,838.03,0
4,65,1117.49,0
137,100,109066.61,1
193,36,1035.34,0
5,83,900.77,0
117,89,1560.69,0
156,97,3117.57,0
31,116,710.03,0
26,34,1359.11,0
126,112,448.19,0
107,125,572.42,0
27,190,2788.46,0
40,83,4672.07,0
60,41,4882.22,0
105,196,2076.7,0
39,97,100519.52,2
81,25,4203.92,0
197,148,3689.18,0
67,160,2969.46,0
142,151,176784.78,1
57,50,779.4,0
44,199,3439.18,0
12,72,2499.73,0
166,38,2501.88,0
178,69,729.5,0
61,55,2937.55,0
6,106,313.62,0
193,184,3848.98,0
120,11,3196.57,0
113,92,113250.7,2
38,140,4704.12,0
113,71,948.37,0
90,157,4990.85,0
144,164,3194.73,0
145,152,470.54,0
22,16,1580.99,0
190,140,1687.42,0
198,72,80467.72,1
144,111,191915.22,2
180,54,367.93,0
56,189,35163.08,1
58,191,497.38,0
184,129,2162.37,0
46,196,33137.77,1
10,158,455.82,0
72,199,1940.27,0
128,190,143708.83,2
68,115,1277.2,0
122,29,4119.47,0
56,124,1136.14,0
97,83,1097.72,0
24,12,1486.55,0
8,7,513.79,0
73,198,4004.36,0
116,23,3330.71,0
193,122,183487.17,1
27,125,3576.39,0
104,84,2735.93,0
187,168,3159.87,0
56,175,1655.2,0
121,14,129892.38,1
62,32,3945.54,0
143,118,136844.17,1
70,163,4901.14,0
193,113,3082.63,0
118,170,2679.1,0
98,86,4869.93,0
101,142,1860.59,0
50,19,2980.88,0
80,109,1596.99,0
175,94,2745.11,0
23,165,3368.76,0
181,40,1588.21,0
104,83,2041.88,0
85,20,2934.56,0
156,196,410.5,0
79,190,1730.59,0
137,198,2443.31,0
167,198,2913.45,0
140,0,1554.18,0
184,120,153994.39,1
148,18,15740.93,1
145,8,3045.22,0
183,120,547.7,0
41,94,1808.59,0
167,135,88.72,0
127,5,495.74,0
137,38,38755.67,1
163,170,187243.42,1
132,115,648.97,0
182,162,131667.82,2
32,70,3140.37,0
18,176,346.57,0
71,159,3417.97,0
99,62,56214.16,1
128,135,829.29,0
94,29,3824.9,0
140,40,2064.19,0
127,119,26031.39,1
97,21,129537.95,2
111,124,193.67,0
116,129,3046.86,0
150,148,4994.57,0
44,120,2618.87,0
61,146,1945.71,0
58,57,167.14,0
38,155,4471.0,0
141,76,4662.19,0
88,179,19305.66,1
9,77,4979.84,0
72,179,4305.05,0
183,80,1231.5,0
86,89,80.22,0
174,165,403.44,0
123,88,1695.58,0
130,29,1956.72,0
77,54,3848.38,0
164,197,2905.02,0
128,95,1217.1,0
14,31,2614.61,0
157,189,2954.81,0
65,95,4770.28,0
48,158,1290.6,0
61,127,4568.5,0
157,11,3649.85,0
10,193,203.6,0
39,50,70664.0,1
159,184,4514.9,0
64,13,3223.84,0
171,179,4153.35,0
130,49,4534.32,0
179,28,994.38,0
106,74,620.11,0
63,51,4204.18,0
4,23,1506.47,0
130,20,4264.15,0
178,108,1734.24,0
101,33,3374.87,0
45,27,184183.43,1
163,103,166609.04,1
3,141,2069.55,0
143,83,4990.71,0
69,42,1322.0,0
52,183,119547.5,1
150,46,3850.52,0
173,112,222.25,0
87,196,2457.04,0
141,2,3417.4,0
91,17,1756.77,0
93,92,1945.13,0
155,167,1645.13,0
112,25,2653.46,0
163,44,3978.8,0
125,51,657.06,0
156,171,1926.0,0
122,54,1050.24,0
159,144,4980.68,0
140,25,300.41,0
10,186,4356.68,0
1,136,113467.21,1
98,118,2922.63,0
95,106,142474.56,1
94,131,2830.17,0
101,166,447.56,0
34,129,97328.01,1
137,67,3747.72,0
181,112,4955.38,0
94,171,4749.43,0
166,53,3846.45,0
18,101,4315.73,0
94,73,429.82,0
123,75,3745.47,0
182,132,4263.27,0
158,97,126797.2,2
155,135,2145.11,0
122,102,2160.05,0
54,138,704.94,0
2,119,4510.99,0
164,139,108193.48,1
71,8,3466.89,0
137,2,4243.5,0
137,175,3611.18,0
18,115,904.65,0
152,179,4406.53,0
45,187,2632.65,0
119,176,1555.25,0
127,140,133339.34,1
101,196,178354.81,2
153,14,88.05,0
147,18,670.37,0
97,163,4704.44,0
104,26,109306.43,2
193,49,40870.52,1
4,61,46773.75,1
140,129,46016.26,1
150,141,1189.07,0
106,158,3213.01,0
120,8,62408.51,1
125,117,39469.09,1
131,83,23740.39,1
44,28,3322.24,0
119,32,4904.57,0
40,127,4980.05,0
102,106,3661.58,0
130,102,2525.39,0
62,41,2338.19,0
98,72,1297.38,0
113,167,1319.4,0
132,72,4237.37,0
56,45,4030.34,0
93,95,4593.79,0
35,9,1470.05,0
107,99,4528.95,0
57,35,816.98,0
180,77,3077.8,0
161,175,4608.6,0
174,35,3159.83,0
101,126,42958.14,1
180,92,22073.83,1
161,175,315.36,0
65,117,1313.87,0
127,160,2238.1,0
197,158,107350.67,2
22,166,117807.74,1
120,49,1870.81,0
13,39,829.18,0
154,46,2750.1,0
161,59,20117.81,1
130,136,2474.74,0
194,78,144884.37,2
102,194,2772.98,0
44,51,704.19,0
102,62,780.48,0
149,111,3192.18,0
157,172,3231.36,0
149,178,146.68,0
164,77,2440.58,0
4,161,2601.11,0
82,29,4852.41,0
68,36,403.48,0
188,85,3922.81,0
177,145,107434.81,2
146,35,2670.83,0
105,76,60104.71,1
14,116,32465.26,1
20,134,93222.36,1
164,163,3005.87,0
127,183,1494.71,0
60,150,1652.67,0
161,155,4006.6,0
44,160,137998.77,1
92,177,52606.4,1
125,58,137542.7,2
117,9,1502.54,0
193,5,195848.7,1
57,29,2334.17,0
187,33,496.16,0
143,50,3594.3,0
103,69,2527.34,0
45,105,172.69,0
76,117,1615.08,0
167,166,4394.65,0
59,98,3485.05,0
139,86,4076.87,0
194,180,2372.1,0
29,88,2178.07,0
91,199,286.63,0
129,115,3833.8,0
22,71,4414.07,0
66,87,1434.31,0
84,172,4303.74,0
24,168,2183.7,0
136,189,146561.71,1
36,144,3303.86,0
57,165,787.5,0
106,167,540.16,0
3,146,1457.48,0
59,84,3883.12,0
113,172,1107.82,0
155,108,4823.6,0
137,84,4699.22,0
69,113,3326.6,0
70,185,2968.46,0
42,78,2995.47,0
194,134,3004.11,0
179,27,1943.58,0
91,115,158587.51,2
76,163,4812.04,0
77,157,2690.72,0
21,72,2601.49,0
165,37,1219.53,0
105,93,3398.0,0
166,69,3098.77,0
19,171,16363.28,1
189,175,4566.62,0
90,43,34012.0,1
86,142,4697.8,0
19,113,4049.71,0
121,122,3270.17,0
12,155,3738.6,0
118,179,1545.84,0
61,44,2782.36,0
86,26,509.09,0
179,75,158.6,0
88,164,136569.11,1
132,92,3132.04,0
